user	transaction_date	sales_amount	join_date	region
4274	04-01-2016	37.44	05-01-2014	P
4990	04-01-2016	15.26	04-11-2013	C
4261	04-01-2016	42.86	04-11-2013	C
3740	04-01-2016	24.33	01-08-2013	I
6160	04-01-2016	34.31	28-09-2007	P
4790	04-01-2016	44.51	13-10-2014	C
6752	04-01-2016	9.0	04-01-2016	C
5759	04-01-2016	105.62	27-01-2014	C
7732	04-01-2016	16.3	27-04-2004	C
6335	04-01-2016	18.02	26-01-2015	E
6335	04-01-2016	26.97	26-01-2015	E
8350	04-01-2016	10.66	25-08-2006	B
8552	04-01-2016	52.29	15-07-2006	E
6567	04-01-2016	31.29	14-12-2014	C
9295	04-01-2016	101.56	07-10-2005	S
32	05-01-2016	11.46	05-08-2008	B
93	05-01-2016	47.89	01-01-2001	B
138	05-01-2016	48.39	19-08-2003	H
711	05-01-2016	4.84	06-04-2002	L
7	05-01-2016	35.9	04-05-2009	C
981	05-01-2016	13.52	29-07-2009	M
711	05-01-2016	34.98	06-04-2002	L
1609	05-01-2016	9.42	21-04-2012	C
100	05-01-2016	14.98	26-09-2010	E
2736	05-01-2016	118.01	09-06-2015	C
3228	05-01-2016	34.26	22-08-2015	B
3154	05-01-2016	69.5	09-05-2015	C
3528	05-01-2016	42.13	10-08-2015	F
3154	05-01-2016	45.56	09-05-2015	C
1231	05-01-2016	34.98	16-04-2014	M
2621	05-01-2016	25.33	30-05-2014	E
768	05-01-2016	18.69	16-02-2015	L
3956	05-01-2016	12.96	21-03-2014	D
1694	05-01-2016	119.02	01-07-2013	B
2676	05-01-2016	61.42	21-08-2013	L
3827	05-01-2016	10.65	28-11-2013	C
3912	05-01-2016	52.81	17-09-2013	P
4371	05-01-2016	7.62	04-11-2013	S
5189	05-01-2016	17.05	03-03-2015	C
5758	05-01-2016	48.68	09-06-2014	S
5950	05-01-2016	5.66	07-11-2015	B
6052	05-01-2016	4.02	20-12-2013	I
6459	05-01-2016	89.9	05-04-2014	B
6710	05-01-2016	13.03	05-01-2016	H
6785	05-01-2016	55.88	22-12-2015	O
6804	05-01-2016	188.53	05-01-2016	C
5167	05-01-2016	18.77	30-10-2013	H
7270	05-01-2016	41.31	06-12-2015	I
7294	05-01-2016	15.56	08-09-2007	P
8224	05-01-2016	25.4	05-01-2016	I
8379	05-01-2016	31.71	06-03-2008	P
8989	05-01-2016	24.51	05-01-2016	I
7016	05-01-2016	22.93	01-11-2014	G
7759	05-01-2016	21.23	12-09-2011	I
6987	05-01-2016	39.68	23-01-2009	F
6921	05-01-2016	40.74	05-12-2015	C
1040	06-01-2016	61.35	31-12-2011	P
1281	06-01-2016	6.48	17-06-2011	D
207	06-01-2016	36.22	29-01-2011	B
2576	06-01-2016	38.52	07-10-2014	F
1381	06-01-2016	9.66	14-07-2008	B
99	06-01-2016	9.6	12-12-2010	B
3152	06-01-2016	38.44	02-07-2013	G
3983	06-01-2016	47.46	06-01-2016	I
3407	06-01-2016	49.32	10-07-2015	C
3649	06-01-2016	19.61	19-11-2013	C
4493	06-01-2016	16.22	21-08-2013	G
4528	06-01-2016	10.57	03-12-2013	G
5363	06-01-2016	0.01	27-06-2015	G
6563	06-01-2016	31.17	16-06-2015	C
5413	06-01-2016	10.41	14-10-2014	G
7746	06-01-2016	7.31	11-12-2015	I
7835	06-01-2016	48.77	06-01-2016	M
4854	06-01-2016	31.57	21-03-2014	D
8301	06-01-2016	14.52	06-01-2016	D
7835	06-01-2016	21.13	06-01-2016	M
5872	06-01-2016	27.46	27-06-2004	P
5104	06-01-2016	12.13	04-11-2013	G
21	07-01-2016	35.19	01-01-2001	B
117	07-01-2016	75.48	12-08-2005	B
670	07-01-2016	18.3	04-02-2010	C
834	07-01-2016	170.85	26-06-2013	H
651	07-01-2016	31.84	13-06-2011	H
1385	07-01-2016	53.93	14-12-2013	K
793	07-01-2016	69.92	04-08-2011	C
2823	07-01-2016	543.8	17-05-2009	B
2550	07-01-2016	26.23	12-02-2015	E
3168	07-01-2016	99.47	21-03-2014	D
1969	07-01-2016	66.05	06-06-2013	G
3670	07-01-2016	22.45	07-01-2016	C
4041	07-01-2016	38.06	22-06-2013	P
2823	07-01-2016	224.15	17-05-2009	B
4490	07-01-2016	88.72	26-12-2014	A
2566	07-01-2016	10.63	29-06-2013	D
3692	07-01-2016	76.64	04-10-2013	D
4873	07-01-2016	80.65	04-10-2013	G
3008	07-01-2016	73.77	01-08-2013	S
5579	07-01-2016	12.7	04-03-2013	I
5052	07-01-2016	14.75	19-08-2014	C
6693	07-01-2016	170.59	13-08-2014	D
4841	07-01-2016	78.44	17-09-2013	S
7227	07-01-2016	49.1	12-01-2015	D
7752	07-01-2016	19.59	16-10-2015	C
6503	07-01-2016	0.01	26-12-2014	O
5611	07-01-2016	25.54	03-12-2013	M
25	08-01-2016	26.05	01-01-2001	B
393	08-01-2016	47.38	19-04-2010	B
299	08-01-2016	70.9	12-03-2007	C
118	08-01-2016	12.29	02-05-2007	I
378	08-01-2016	82.11	18-03-2004	B
96	08-01-2016	38.0	11-01-2008	M
1258	08-01-2016	16.79	11-11-2011	B
1126	08-01-2016	69.47	25-07-2014	D
706	08-01-2016	48.42	16-05-2012	D
3424	08-01-2016	28.53	08-01-2016	J
1966	08-01-2016	19.66	01-07-2013	I
4893	08-01-2016	6.48	14-01-2014	C
3649	08-01-2016	12.23	19-11-2013	C
3649	08-01-2016	28.58	19-11-2013	C
5317	08-01-2016	42.97	03-04-2015	G
5798	08-01-2016	4.02	09-01-2014	D
2416	08-01-2016	106.48	01-07-2013	T
5401	08-01-2016	17.94	04-10-2013	C
6470	08-01-2016	22.87	07-11-2014	I
6565	08-01-2016	43.15	29-08-2014	I
6645	08-01-2016	4.43	24-12-2013	I
6895	08-01-2016	50.74	08-01-2016	S
7977	08-01-2016	80.67	02-09-2014	L
8003	08-01-2016	74.51	08-01-2016	F
5432	08-01-2016	11.87	18-08-2009	G
9125	08-01-2016	58.9	08-01-2016	S
5161	08-01-2016	34.34	29-01-2014	F
5669	08-01-2016	17.88	05-12-2014	G
9984	08-01-2016	51.3	08-01-2016	A
113	09-01-2016	10.65	28-12-2005	B
123	09-01-2016	17.12	25-10-2002	B
1023	09-01-2016	40.45	12-04-2010	C
277	09-01-2016	51.52	07-12-2011	O
370	09-01-2016	15.57	13-07-2009	B
998	09-01-2016	8.36	24-11-2010	B
1453	09-01-2016	38.06	20-12-2014	M
1390	09-01-2016	16.31	08-06-2010	B
664	09-01-2016	10.49	21-01-2010	B
1600	09-01-2016	22.78	30-10-2006	B
869	09-01-2016	46.52	28-06-2010	C
2101	09-01-2016	43.35	21-01-1999	B
629	09-01-2016	13.46	02-07-2013	N
2572	09-01-2016	44.13	31-01-2015	O
2906	09-01-2016	34.98	06-06-2015	I
2960	09-01-2016	23.69	06-01-2015	C
2960	09-01-2016	9.83	06-01-2015	C
2073	09-01-2016	98.77	20-08-2014	C
1639	09-01-2016	74.88	01-07-2013	G
1915	09-01-2016	21.58	06-06-2013	A
1693	09-01-2016	7.3	05-06-2013	S
4060	09-01-2016	67.95	09-01-2016	B
1756	09-01-2016	54.77	01-07-2013	G
3561	09-01-2016	10.57	01-07-2013	H
2297	09-01-2016	164.76	02-07-2013	N
3649	09-01-2016	55.27	19-11-2013	C
4580	09-01-2016	19.67	02-09-2013	C
3750	09-01-2016	36.95	14-02-2015	G
4820	09-01-2016	19.03	09-01-2014	M
3083	09-01-2016	20.07	20-01-2015	S
4873	09-01-2016	21.31	04-10-2013	G
4240	09-01-2016	62.63	07-08-2013	H
6470	09-01-2016	0.0	07-11-2014	I
5020	09-01-2016	34.0	03-12-2013	H
7161	09-01-2016	15.97	30-03-2010	C
4313	09-01-2016	35.98	04-10-2013	B
6921	09-01-2016	135.73	05-12-2015	C
3242	09-01-2016	19.61	21-03-2014	I
6885	09-01-2016	47.78	15-09-2012	G
6139	09-01-2016	8.11	19-09-2010	G
4747	09-01-2016	17.13	10-02-2014	G
5246	09-01-2016	112.62	09-11-2013	B
5705	09-01-2016	39.26	01-04-2011	C
5317	09-01-2016	57.99	03-04-2015	G
8604	09-01-2016	68.36	09-07-2010	C
6707	09-01-2016	34.36	12-10-2010	C
4568	09-01-2016	34.53	18-04-2014	L
6480	09-01-2016	49.75	30-04-2004	G
6732	09-01-2016	77.71	15-01-2014	D
8375	09-01-2016	19.47	13-04-2011	G
6921	09-01-2016	0.0	05-12-2015	C
7062	09-01-2016	63.45	10-01-2015	H
8200	09-01-2016	43.51	30-08-2004	I
6179	09-01-2016	30.96	01-03-2015	M
7298	09-01-2016	34.24	18-06-2005	U
8383	09-01-2016	10.57	08-11-2012	B
65	10-01-2016	115.98	10-05-2007	C
751	10-01-2016	19.52	28-10-2009	E
661	10-01-2016	16.71	18-09-2009	D
155	10-01-2016	10.57	17-05-2008	I
188	10-01-2016	10.61	07-02-2011	B
769	10-01-2016	6.48	31-05-2010	B
245	10-01-2016	2.3	13-11-2010	H
1076	10-01-2016	27.79	22-01-2012	D
2823	10-01-2016	25.02	17-05-2009	B
1096	10-01-2016	11.46	28-10-2014	C
3198	10-01-2016	46.58	02-04-2015	B
2823	10-01-2016	0.0	17-05-2009	B
3802	10-01-2016	66.83	10-01-2016	H
967	10-01-2016	12.7	27-07-2015	C
2823	10-01-2016	262.8	17-05-2009	B
1756	10-01-2016	43.38	01-07-2013	G
2486	10-01-2016	42.28	02-09-2013	G
3555	10-01-2016	94.02	21-03-2014	D
5131	10-01-2016	31.8	02-07-2013	S
4281	10-01-2016	24.27	04-11-2013	G
6034	10-01-2016	33.75	18-12-2013	I
6297	10-01-2016	31.8	10-01-2016	F
4776	10-01-2016	33.68	04-10-2013	C
6461	10-01-2016	35.98	19-01-2015	C
5875	10-01-2016	11.06	21-03-2014	F
6870	10-01-2016	32.7	08-11-2014	C
6481	10-01-2016	62.03	30-10-2013	O
7652	10-01-2016	51.48	04-09-2015	E
4854	10-01-2016	47.22	21-03-2014	D
8280	10-01-2016	20.81	18-11-2015	C
9240	10-01-2016	65.74	16-09-2015	C
7207	10-01-2016	28.61	27-11-2006	L
10	11-01-2016	39.9	01-01-2001	C
776	11-01-2016	43.53	05-03-2011	B
629	11-01-2016	15.31	02-07-2013	N
2664	11-01-2016	9.01	12-11-2014	D
1126	11-01-2016	3.49	25-07-2014	D
2660	11-01-2016	70.75	05-06-2013	I
1873	11-01-2016	98.34	22-12-2014	I
2388	11-01-2016	7.37	08-03-2015	H
1753	11-01-2016	64.11	06-02-2015	C
2899	11-01-2016	178.63	01-07-2013	M
3600	11-01-2016	102.35	21-03-2014	L
4603	11-01-2016	89.59	04-10-2013	B
4493	11-01-2016	10.57	21-08-2013	G
6474	11-01-2016	30.67	28-05-2014	C
4240	11-01-2016	54.51	07-08-2013	H
6913	11-01-2016	61.39	10-11-2015	G
5681	11-01-2016	54.02	18-12-2013	I
4326	11-01-2016	33.31	21-08-2013	A
7201	11-01-2016	7.31	03-09-2015	B
8089	11-01-2016	52.87	11-01-2016	G
8118	11-01-2016	32.62	25-03-2008	H
7201	11-01-2016	17.88	03-09-2015	B
328	12-01-2016	12.21	13-09-2008	D
131	12-01-2016	33.52	14-06-2008	D
565	12-01-2016	68.72	30-10-2010	B
88	12-01-2016	102.62	02-11-2005	C
88	12-01-2016	46.61	02-11-2005	C
4	12-01-2016	20.39	28-07-2011	B
631	12-01-2016	22.87	14-09-2001	B
467	12-01-2016	70.9	17-10-2009	C
1587	12-01-2016	13.52	30-10-2013	B
1594	12-01-2016	39.04	04-01-2012	M
3561	12-01-2016	15.92	01-07-2013	H
4125	12-01-2016	27.57	20-11-2014	A
4125	12-01-2016	70.11	20-11-2014	A
3676	12-01-2016	10.51	28-11-2013	I
3925	12-01-2016	37.38	21-03-2014	I
5864	12-01-2016	176.64	21-03-2014	D
5987	12-01-2016	23.69	02-07-2013	H
4984	12-01-2016	4.91	04-10-2013	N
4272	12-01-2016	9.01	04-10-2013	B
4470	12-01-2016	24.51	21-03-2014	K
6693	12-01-2016	124.05	13-08-2014	D
5728	12-01-2016	42.14	25-08-2003	C
6667	12-01-2016	25.4	11-11-2014	P
7320	12-01-2016	22.05	26-07-2015	A
8070	12-01-2016	49.75	15-02-2007	F
308	13-01-2016	19.59	28-04-2008	A
57	13-01-2016	38.36	14-11-2013	C
358	13-01-2016	3.27	09-02-2004	B
14	13-01-2016	22.3	24-06-2004	F
213	13-01-2016	82.76	07-06-2008	A
14	13-01-2016	57.76	24-06-2004	F
1096	13-01-2016	37.3	28-10-2014	C
933	13-01-2016	245.89	12-11-2014	N
4	13-01-2016	52.19	28-07-2011	B
933	13-01-2016	91.53	12-11-2014	N
933	13-01-2016	205.11	12-11-2014	N
2078	13-01-2016	45.43	01-10-2014	I
2692	13-01-2016	28.61	20-12-2014	C
933	13-01-2016	136.29	12-11-2014	N
933	13-01-2016	244.2	12-11-2014	N
2576	13-01-2016	62.52	07-10-2014	F
4162	13-01-2016	13.79	13-01-2016	M
3955	13-01-2016	26.64	21-03-2014	G
933	13-01-2016	223.73	12-11-2014	N
2208	13-01-2016	47.58	01-07-2013	B
2108	13-01-2016	17.13	01-07-2013	G
5032	13-01-2016	6.14	18-12-2013	G
3649	13-01-2016	76.78	19-11-2013	C
2208	13-01-2016	34.92	01-07-2013	B
4218	13-01-2016	3.2	05-02-2015	C
3242	13-01-2016	9.16	21-03-2014	I
6675	13-01-2016	12.21	01-03-2008	C
5548	13-01-2016	50.66	21-03-2014	I
6349	13-01-2016	20.41	01-07-2015	H
6206	13-01-2016	26.15	09-07-2007	B
7259	13-01-2016	2.86	29-11-2015	M
6829	13-01-2016	11.06	09-08-2014	M
8641	13-01-2016	8.19	23-05-2014	I
8781	13-01-2016	3.07	05-09-2015	A
173	14-01-2016	38.44	05-06-2007	C
29	14-01-2016	10.5	20-08-2008	B
872	14-01-2016	22.54	03-10-2012	C
619	14-01-2016	14.56	22-04-2009	I
662	14-01-2016	20.14	30-07-2010	M
813	14-01-2016	31.07	16-01-2011	M
310	14-01-2016	33.08	14-11-2010	M
1802	14-01-2016	10.97	23-05-2011	B
1603	14-01-2016	20.4	16-05-2013	I
2673	14-01-2016	21.31	14-01-2016	I
676	14-01-2016	13.02	07-01-2011	J
3279	14-01-2016	14.34	14-01-2016	C
629	14-01-2016	5.48	02-07-2013	N
3418	14-01-2016	8.6	14-01-2016	B
2310	14-01-2016	39.38	01-07-2013	B
2025	14-01-2016	21.36	22-05-2013	C
629	14-01-2016	7.93	02-07-2013	N
2959	14-01-2016	26.47	02-07-2013	C
2310	14-01-2016	7.36	01-07-2013	B
4331	14-01-2016	80.97	02-07-2013	S
4954	14-01-2016	26.64	21-03-2014	D
4781	14-01-2016	18.77	25-07-2013	I
5281	14-01-2016	40.22	09-01-2014	H
3591	14-01-2016	56.12	20-08-2013	A
4470	14-01-2016	24.51	21-03-2014	K
4245	14-01-2016	163.0	17-09-2013	O
5175	14-01-2016	33.68	03-12-2013	F
6791	14-01-2016	34.01	07-12-2014	C
7547	14-01-2016	65.41	21-03-2014	C
6708	14-01-2016	38.69	06-11-2015	U
6950	14-01-2016	42.85	17-05-2014	G
3912	14-01-2016	14.34	17-09-2013	P
6257	14-01-2016	34.3	21-08-2011	H
306	15-01-2016	54.76	12-12-2008	E
489	15-01-2016	53.2	14-05-2009	L
37	15-01-2016	20.48	01-01-2001	B
2	15-01-2016	27.04	29-06-2004	B
322	15-01-2016	49.1	21-12-2010	M
604	15-01-2016	17.95	27-02-2010	N
495	15-01-2016	6.48	02-10-2010	J
619	15-01-2016	6.89	22-04-2009	I
2813	15-01-2016	83.67	28-02-2015	L
3344	15-01-2016	80.29	04-08-2015	C
1516	15-01-2016	2.45	18-09-2015	B
2914	15-01-2016	76.72	09-11-2014	M
1634	15-01-2016	9.67	28-11-2012	I
2053	15-01-2016	18.0	01-07-2013	L
1650	15-01-2016	70.07	07-06-2013	A
2471	15-01-2016	59.1	21-08-2013	O
4675	15-01-2016	32.7	12-11-2014	F
3649	15-01-2016	28.83	19-11-2013	C
4527	15-01-2016	9.59	16-08-2013	A
6528	15-01-2016	12.7	30-11-2007	O
5448	15-01-2016	25.24	27-06-2009	I
7258	15-01-2016	11.1	15-01-2016	M
6038	15-01-2016	0.0	17-12-2005	D
7258	15-01-2016	18.0	15-01-2016	M
8474	15-01-2016	28.53	04-11-2013	C
8397	15-01-2016	18.77	15-01-2016	A
7999	15-01-2016	69.59	15-01-2016	M
4240	15-01-2016	33.47	07-08-2013	H
8520	15-01-2016	156.62	24-02-2004	P
826	16-01-2016	18.68	02-11-2009	B
18	16-01-2016	199.53	24-07-2004	I
837	16-01-2016	7.37	08-12-2009	H
1009	16-01-2016	18.74	26-10-2009	C
664	16-01-2016	18.01	21-01-2010	B
310	16-01-2016	101.69	14-11-2010	M
1918	16-01-2016	20.41	16-01-2016	D
2062	16-01-2016	2.46	31-01-2012	M
147	16-01-2016	30.58	24-06-2011	I
1795	16-01-2016	112.13	03-05-2015	G
2677	16-01-2016	54.53	16-01-2016	B
1381	16-01-2016	2.38	14-07-2008	B
1361	16-01-2016	19.25	01-12-2006	I
1657	16-01-2016	9.01	03-04-2015	C
1096	16-01-2016	46.11	28-10-2014	C
3393	16-01-2016	31.59	12-12-2015	C
2154	16-01-2016	34.06	04-05-2015	B
1153	16-01-2016	48.35	08-06-2013	C
3991	16-01-2016	43.58	16-01-2016	C
3030	16-01-2016	10.24	16-01-2016	B
1737	16-01-2016	54.5	01-07-2013	C
3950	16-01-2016	96.37	02-07-2013	H
2297	16-01-2016	32.63	02-07-2013	N
2392	16-01-2016	23.35	01-07-2013	M
3308	16-01-2016	55.19	25-07-2013	L
4743	16-01-2016	10.65	21-03-2014	C
1581	16-01-2016	36.35	01-07-2013	L
4075	16-01-2016	65.98	02-07-2013	D
4284	16-01-2016	45.48	01-08-2013	G
4400	16-01-2016	51.56	25-07-2013	L
4284	16-01-2016	13.77	01-08-2013	G
3030	16-01-2016	16.79	16-01-2016	B
3242	16-01-2016	2.14	21-03-2014	I
4377	16-01-2016	39.83	21-08-2013	L
4230	16-01-2016	27.35	02-07-2013	G
3384	16-01-2016	20.4	21-03-2014	C
4371	16-01-2016	20.4	04-11-2013	S
3383	16-01-2016	35.9	02-07-2013	I
5366	16-01-2016	25.32	10-11-2014	E
5411	16-01-2016	13.46	03-12-2013	G
5189	16-01-2016	28.25	03-03-2015	C
6938	16-01-2016	46.64	16-01-2016	I
4762	16-01-2016	25.94	21-03-2014	D
6533	16-01-2016	74.26	09-01-2014	C
6256	16-01-2016	36.18	09-07-2014	E
6256	16-01-2016	8.13	09-07-2014	E
8644	16-01-2016	21.23	27-10-2012	S
8071	16-01-2016	103.49	02-12-2006	G
6252	16-01-2016	43.13	30-05-2014	A
8289	16-01-2016	37.54	09-02-2015	D
6921	16-01-2016	8.94	05-12-2015	C
1094	17-01-2016	70.32	19-05-2009	I
355	17-01-2016	35.6	31-07-2010	B
4	17-01-2016	47.27	28-07-2011	B
1391	17-01-2016	53.2	02-04-2014	I
1652	17-01-2016	35.98	28-01-2015	M
2511	17-01-2016	8.6	14-10-2014	D
3304	17-01-2016	10.73	17-01-2016	B
3400	17-01-2016	12.13	17-01-2016	C
3271	17-01-2016	123.31	28-11-2013	F
1295	17-01-2016	9.41	13-10-2015	A
2787	17-01-2016	10.57	24-09-2015	H
3229	17-01-2016	16.31	01-07-2013	L
3271	17-01-2016	21.71	28-11-2013	F
5623	17-01-2016	2.46	19-06-2014	E
4240	17-01-2016	30.09	07-08-2013	H
6405	17-01-2016	12.96	20-01-2014	C
4747	17-01-2016	4.84	10-02-2014	G
5235	17-01-2016	6.48	12-11-2014	G
6950	17-01-2016	10.65	17-05-2014	G
6660	17-01-2016	9.74	13-06-2006	P
6107	17-01-2016	17.2	29-01-2014	C
6269	17-01-2016	171.64	01-04-2008	I
6567	17-01-2016	160.44	14-12-2014	C
507	18-01-2016	36.79	10-05-2009	C
610	18-01-2016	14.74	31-12-2001	O
426	18-01-2016	17.61	28-09-2007	B
25	18-01-2016	30.66	01-01-2001	B
24	18-01-2016	20.14	28-02-2008	J
807	18-01-2016	4.68	14-02-2010	B
267	18-01-2016	37.32	17-11-2008	B
267	18-01-2016	38.59	17-11-2008	B
348	18-01-2016	77.2	29-08-2009	C
711	18-01-2016	63.15	06-04-2002	L
38	18-01-2016	3.1	03-04-2011	B
1653	18-01-2016	31.84	19-06-2014	C
1417	18-01-2016	37.38	02-03-2007	B
1711	18-01-2016	5.73	25-07-2013	B
3988	18-01-2016	66.23	18-01-2016	H
2617	18-01-2016	47.27	01-07-2013	B
3740	18-01-2016	31.56	01-08-2013	I
4790	18-01-2016	58.77	13-10-2014	C
4982	18-01-2016	38.06	21-03-2014	C
4359	18-01-2016	8.13	01-08-2013	C
4001	18-01-2016	77.08	02-07-2013	A
6172	18-01-2016	78.61	18-12-2013	L
6755	18-01-2016	7.37	05-01-2015	C
5334	18-01-2016	40.9	29-01-2010	G
7057	18-01-2016	26.15	29-05-2008	B
6735	18-01-2016	25.33	30-05-2015	F
8647	18-01-2016	44.81	18-01-2016	C
7322	18-01-2016	5.58	08-03-2007	C
6905	18-01-2016	28.4	03-01-2007	A
8379	18-01-2016	9.83	06-03-2008	P
8490	18-01-2016	36.15	06-08-2003	D
1498	19-01-2016	31.88	02-10-2012	B
1674	19-01-2016	63.94	18-04-2015	C
685	19-01-2016	39.29	24-06-2011	C
810	19-01-2016	30.72	31-07-2012	B
3891	19-01-2016	68.49	19-01-2016	B
2329	19-01-2016	27.46	06-06-2013	G
3385	19-01-2016	17.13	04-11-2013	D
4717	19-01-2016	165.99	04-11-2013	S
3487	19-01-2016	32.95	02-07-2013	B
5312	19-01-2016	22.8	21-03-2014	A
3383	19-01-2016	40.33	02-07-2013	I
8836	19-01-2016	61.16	26-06-2009	A
7909	19-01-2016	12.2	11-04-2011	G
84	20-01-2016	96.51	21-11-2008	B
774	20-01-2016	22.78	28-12-2011	K
1934	20-01-2016	59.83	01-07-2013	G
744	20-01-2016	16.31	03-11-2011	I
1674	20-01-2016	103.36	18-04-2015	C
925	20-01-2016	44.19	09-08-2014	A
2310	20-01-2016	13.62	01-07-2013	B
2823	20-01-2016	98.78	17-05-2009	B
3024	20-01-2016	31.07	05-08-2014	G
2297	20-01-2016	66.95	02-07-2013	N
1754	20-01-2016	34.3	02-07-2013	B
2607	20-01-2016	2.05	15-01-2015	C
3507	20-01-2016	28.61	02-07-2013	F
3649	20-01-2016	6.7	19-11-2013	C
4615	20-01-2016	17.87	02-07-2013	S
3649	20-01-2016	2.14	19-11-2013	C
629	20-01-2016	10.14	02-07-2013	N
4339	20-01-2016	50.83	28-11-2013	L
4490	20-01-2016	0.0	26-12-2014	A
4339	20-01-2016	77.31	28-11-2013	L
6570	20-01-2016	87.73	14-02-2015	P
5373	20-01-2016	49.06	20-11-2013	L
7007	20-01-2016	10.24	23-01-2015	D
6830	20-01-2016	38.93	23-04-2014	B
8077	20-01-2016	5.68	24-01-2015	I
8266	20-01-2016	26.97	08-08-2011	L
7669	20-01-2016	31.89	14-09-2011	O
7780	20-01-2016	93.18	24-10-2005	D
319	21-01-2016	8.11	30-03-1999	B
96	21-01-2016	58.34	11-01-2008	M
1779	21-01-2016	37.12	05-04-2013	N
621	21-01-2016	58.53	23-08-2011	C
3500	21-01-2016	10.18	25-07-2013	D
4490	21-01-2016	64.77	26-12-2014	A
4056	21-01-2016	6.15	21-08-2013	G
3649	21-01-2016	12.17	19-11-2013	C
4207	21-01-2016	26.64	21-08-2013	B
4979	21-01-2016	59.75	02-09-2013	B
5166	21-01-2016	46.66	29-01-2014	C
5414	21-01-2016	38.84	30-07-2010	C
6915	21-01-2016	35.36	03-07-2012	G
7250	21-01-2016	30.25	12-11-2014	G
7450	21-01-2016	41.13	21-01-2016	S
7334	21-01-2016	38.53	10-05-2014	P
8422	21-01-2016	64.67	21-01-2016	I
9272	21-01-2016	36.8	21-01-2016	G
5588	21-01-2016	75.25	27-06-2014	M
9817	21-01-2016	63.78	21-01-2016	S
