user	transaction date	sales amount	join date	region
2362	January/05/2015	45.89	January/05/2015	C
1541	January/05/2015	26.14	July/25/2012	B
1639	January/05/2015	48.28	July/01/2013	G
629	January/05/2015	4.8	July/02/2013	N
2713	January/05/2015	49.51	December/27/2014	K
2053	January/05/2015	21.31	July/01/2013	L
3488	January/05/2015	34.66	January/05/2015	H
2321	January/05/2015	17.2	July/01/2013	C
1351	January/05/2015	39.18	February/23/2005	B
1951	January/05/2015	20.49	May/18/2013	B
2861	January/05/2015	50.82	June/06/2013	G
2504	January/05/2015	53.52	July/01/2013	P
4699	January/05/2015	35.57	August/01/2013	D
4151	January/05/2015	9.42	July/25/2013	G
4000	January/05/2015	36.8	March/21/2014	P
4613	January/05/2015	1.64	June/15/2013	L
3822	January/05/2015	36.8	July/01/2013	L
2416	January/05/2015	60.86	July/01/2013	T
5513	January/05/2015	11.22	January/05/2015	I
4943	January/05/2015	50.97	November/28/2013	D
4947	January/05/2015	10.97	August/21/2013	G
4199	January/05/2015	24.51	March/21/2014	C
4625	January/05/2015	58.64	September/17/2013	H
4645	January/05/2015	49.8	November/17/2014	S
6506	January/05/2015	31.8	December/14/2010	C
6851	January/05/2015	37.3	July/14/2014	I
7163	January/05/2015	34.57	January/05/2015	G
7328	January/05/2015	19.43	April/12/2014	G
7714	January/05/2015	25.12	August/04/2004	S
7089	January/05/2015	35.66	May/06/2013	A
6755	January/05/2015	10.88	January/05/2015	C
7109	January/05/2015	52.46	November/15/2014	G
7030	January/05/2015	74.56	May/17/2012	P
9106	January/05/2015	33.87	March/21/2009	M
5759	January/05/2015	24.51	January/27/2014	C
10	January/06/2015	87.81	January/01/2001	C
211	January/06/2015	25.0	June/19/2007	F
657	January/06/2015	10.57	October/02/2009	B
242	January/06/2015	67.3	May/08/2010	C
324	January/06/2015	22.05	July/31/2008	C
1420	January/06/2015	23.28	September/30/2011	D
1572	January/06/2015	48.77	September/25/2011	M
985	January/06/2015	9.75	April/28/2011	M
991	January/06/2015	63.77	January/05/2011	O
1548	January/06/2015	24.51	May/07/2011	K
2459	January/06/2015	15.1	July/03/2013	N
1018	January/06/2015	29.26	July/15/2012	D
1649	January/06/2015	33.76	July/01/2013	S
2849	January/06/2015	20.08	October/04/2013	O
3507	January/06/2015	57.22	July/02/2013	F
1915	January/06/2015	32.69	June/06/2013	A
629	January/06/2015	8.6	July/02/2013	N
4197	January/06/2015	20.14	January/06/2015	M
4680	January/06/2015	33.2	December/24/2013	S
5254	January/06/2015	9.88	September/17/2013	H
6180	January/06/2015	9.82	January/06/2015	P
6180	January/06/2015	13.68	January/06/2015	P
4882	January/06/2015	0.01	April/11/2014	M
6177	January/06/2015	24.51	October/25/2014	B
6180	January/06/2015	8.76	January/06/2015	P
5270	January/06/2015	22.54	February/27/2003	L
4854	January/06/2015	38.04	March/21/2014	D
6414	January/06/2015	49.59	April/05/2014	O
6422	January/06/2015	77.2	July/13/2003	C
7586	January/06/2015	9.83	March/15/2010	G
8541	January/06/2015	30.54	January/06/2015	C
8589	January/06/2015	49.59	November/20/2012	O
6962	January/06/2015	35.25	May/28/2003	C
6180	January/06/2015	33.78	January/06/2015	P
5459	January/06/2015	37.01	April/28/2014	I
6180	January/06/2015	14.35	January/06/2015	P
103	January/07/2015	24.51	April/08/2008	E
247	January/07/2015	18.44	December/14/2007	J
123	January/07/2015	37.79	October/25/2002	B
568	January/07/2015	19.59	March/01/2002	B
770	January/07/2015	39.57	December/09/2010	L
1460	January/07/2015	17.87	November/15/1999	B
1011	January/07/2015	26.23	November/03/2005	E
630	January/07/2015	41.39	March/20/2010	I
2400	January/07/2015	20.83	January/07/2015	C
2484	January/07/2015	49.02	January/07/2015	I
803	January/07/2015	85.16	June/26/2012	H
1417	January/07/2015	23.69	March/02/2007	B
2397	January/07/2015	32.07	January/02/2015	C
4079	January/07/2015	16.8	September/17/2013	I
3649	January/07/2015	60.25	November/19/2013	C
2288	January/07/2015	24.51	July/01/2013	B
4370	January/07/2015	52.75	July/02/2013	G
4885	January/07/2015	61.39	November/22/2013	I
4650	January/07/2015	29.97	October/12/2003	C
5271	January/07/2015	7.3	March/21/2014	E
5312	January/07/2015	36.66	March/21/2014	A
5217	January/07/2015	8.52	April/15/2014	S
4518	January/07/2015	10.77	November/28/2013	M
5886	January/07/2015	11.8	July/05/2014	P
7129	January/07/2015	37.25	September/17/2013	H
6824	January/07/2015	19.67	October/31/2014	D
8444	January/07/2015	96.31	April/13/2007	I
6680	January/07/2015	5.28	January/07/2015	B
4943	January/07/2015	84.26	November/28/2013	D
7462	January/07/2015	88.93	January/10/2015	G
9386	January/07/2015	88.52	August/02/2005	I
8226	January/07/2015	13.93	June/01/2010	B
8232	January/07/2015	36.8	June/06/2009	O
34	January/08/2015	14.31	November/16/1999	C
240	January/08/2015	12.24	October/19/2008	D
24	January/08/2015	24.1	February/28/2008	J
196	January/08/2015	34.0	November/14/2013	B
2	January/08/2015	20.69	June/29/2004	B
1621	January/08/2015	4.09	April/02/2010	F
1159	January/08/2015	36.33	September/11/2011	B
2543	January/08/2015	47.37	May/02/2014	N
2073	January/08/2015	98.77	August/20/2014	C
2692	January/08/2015	40.97	December/20/2014	C
2543	January/08/2015	8.86	May/02/2014	N
2543	January/08/2015	15.74	May/02/2014	N
933	January/08/2015	156.96	November/12/2014	N
4062	January/08/2015	79.26	January/08/2015	I
5210	January/08/2015	24.51	November/12/2014	G
4466	January/08/2015	1.64	July/25/2013	D
4218	January/08/2015	11.48	February/05/2015	C
6231	January/08/2015	9.83	January/11/2015	G
4064	January/08/2015	28.93	September/02/2013	H
6036	January/08/2015	54.02	November/04/2013	I
6765	January/08/2015	15.04	January/08/2015	D
6139	January/08/2015	24.59	September/19/2010	G
4379	January/08/2015	65.29	July/02/2013	C
5472	January/08/2015	24.51	October/01/2013	I
7780	January/08/2015	28.27	October/24/2005	D
5707	January/08/2015	164.67	May/12/2014	M
7817	January/08/2015	19.2	October/10/2007	C
6765	January/08/2015	41.45	January/08/2015	D
9370	January/08/2015	33.53	January/08/2015	B
6036	January/08/2015	47.71	November/04/2013	I
7239	January/08/2015	86.56	January/11/2015	P
6677	January/08/2015	36.47	October/05/2005	B
123	January/09/2015	2.38	October/25/2002	B
909	January/09/2015	12.21	August/04/2010	O
771	January/09/2015	55.74	February/27/2010	B
1285	January/09/2015	70.9	February/17/2000	B
267	January/09/2015	5.66	November/17/2008	B
1379	January/09/2015	32.7	November/06/2012	H
336	January/09/2015	177.31	May/28/2010	N
770	January/09/2015	29.19	December/09/2010	L
147	January/09/2015	7.3	June/24/2011	I
2589	January/09/2015	30.8	January/09/2015	C
1634	January/09/2015	39.62	November/28/2012	I
3435	January/09/2015	16.6	January/09/2015	F
3899	January/09/2015	55.57	January/09/2015	I
1404	January/09/2015	10.5	December/30/2013	E
4168	January/09/2015	0.08	June/06/2013	H
4665	January/09/2015	25.41	July/01/2013	H
4240	January/09/2015	16.16	August/07/2013	H
3383	January/09/2015	51.89	July/02/2013	I
3636	January/09/2015	11.32	July/25/2013	S
5000	January/09/2015	60.5	October/30/2013	B
5281	January/09/2015	24.51	January/09/2014	H
4971	January/09/2015	6.63	January/09/2014	G
2297	January/09/2015	15.17	July/02/2013	N
5531	January/09/2015	5.32	January/09/2014	G
5781	January/09/2015	4.84	June/30/2014	M
5627	January/09/2015	51.38	December/18/2013	B
5456	January/09/2015	8.04	March/21/2014	C
4543	January/09/2015	9.01	February/04/2013	G
4261	January/09/2015	10.6	November/04/2013	C
4388	January/09/2015	9.24	January/09/2014	B
4218	January/09/2015	11.23	February/05/2015	C
7227	January/09/2015	27.79	January/12/2015	D
7184	January/09/2015	0.17	March/06/2013	G
5308	January/09/2015	25.33	November/04/2013	H
7584	January/09/2015	24.51	January/30/2004	M
9110	January/09/2015	23.8	November/08/2014	H
7184	January/09/2015	22.2	March/06/2013	G
7680	January/09/2015	14.35	January/09/2015	F
246	January/10/2015	58.69	January/17/2007	B
552	January/10/2015	50.66	September/24/2010	B
274	January/10/2015	3.1	April/11/2001	B
30	January/10/2015	60.57	April/28/2007	E
702	January/10/2015	75.99	July/03/2009	H
573	January/10/2015	25.82	September/02/2005	B
1023	January/10/2015	69.92	April/12/2010	C
1182	January/10/2015	32.7	August/27/2010	B
579	January/10/2015	42.5	April/08/2012	B
1395	January/10/2015	2.87	September/10/2009	B
311	January/10/2015	13.33	April/15/2011	G
2397	January/10/2015	19.67	January/02/2015	C
1499	January/10/2015	11.39	July/11/2012	E
1367	January/10/2015	28.28	March/29/2012	B
311	January/10/2015	12.47	April/15/2011	G
3007	January/10/2015	46.33	January/10/2015	B
2208	January/10/2015	6.48	July/01/2013	B
1627	January/10/2015	28.2	January/13/2015	I
4130	January/10/2015	39.11	January/09/2014	S
4395	January/10/2015	43.52	January/10/2015	I
2352	January/10/2015	18.0	July/25/2013	I
2329	January/10/2015	53.28	June/06/2013	G
1873	January/10/2015	25.45	December/22/2014	I
3684	January/10/2015	7.36	July/25/2013	I
4056	January/10/2015	11.55	August/21/2013	G
4974	January/10/2015	59.94	August/21/2013	B
5189	January/10/2015	10.65	March/03/2015	C
4284	January/10/2015	24.51	August/01/2013	G
5127	January/10/2015	43.18	September/02/2013	O
4187	January/10/2015	35.25	August/21/2013	F
5270	January/10/2015	45.0	February/27/2003	L
1827	January/10/2015	8.86	July/01/2013	I
4859	January/10/2015	49.36	August/21/2013	F
6356	January/10/2015	17.7	July/03/2007	F
5662	January/10/2015	9.66	March/21/2014	C
7414	January/10/2015	61.03	January/10/2015	O
6425	January/10/2015	68.17	July/01/2003	M
5870	January/10/2015	35.9	September/13/2014	P
4370	January/10/2015	15.98	July/02/2013	G
7568	January/10/2015	33.19	November/11/2004	H
8090	January/10/2015	22.62	January/10/2015	D
9139	January/10/2015	12.14	January/10/2015	I
8060	January/10/2015	22.04	June/15/2014	I
7062	January/10/2015	82.54	January/10/2015	H
172	January/11/2015	158.85	July/12/2008	L
132	January/11/2015	4.02	November/26/1999	B
1599	January/11/2015	32.67	January/11/2015	B
1608	January/11/2015	5.66	February/04/2011	C
377	January/11/2015	54.69	April/16/2011	H
1236	January/11/2015	94.67	July/16/2010	B
377	January/11/2015	16.31	April/16/2011	H
1395	January/11/2015	16.13	September/10/2009	B
1244	January/11/2015	6.4	April/01/2013	B
1220	January/11/2015	125.66	May/10/2013	O
3605	January/11/2015	58.61	January/11/2015	O
2817	January/11/2015	127.28	January/11/2015	C
3955	January/11/2015	12.09	March/21/2014	G
3077	January/11/2015	5.2	March/21/2014	G
3636	January/11/2015	72.46	July/25/2013	S
4365	January/11/2015	5.32	September/02/2013	I
3222	January/11/2015	21.05	July/01/2013	I
4371	January/11/2015	40.27	November/04/2013	S
5051	January/11/2015	5.86	March/03/2015	C
4701	January/11/2015	6.48	January/09/2014	G
5276	January/11/2015	25.0	November/09/2013	I
5254	January/11/2015	18.98	September/17/2013	H
5588	January/11/2015	12.48	June/27/2014	M
6825	January/11/2015	14.73	November/23/2014	C
3989	January/11/2015	41.39	August/01/2013	I
6010	January/11/2015	14.66	January/29/2014	S
9073	January/11/2015	16.31	January/11/2015	A
5588	January/11/2015	11.6	June/27/2014	M
96	January/12/2015	49.11	January/11/2008	M
53	January/12/2015	34.07	March/23/2000	B
1050	January/12/2015	24.18	April/17/2014	I
101	January/12/2015	4.5	December/23/2008	B
770	January/12/2015	51.91	December/09/2010	L
1805	January/12/2015	14.16	June/17/2011	B
1779	January/12/2015	10.72	April/05/2013	N
1164	January/12/2015	49.02	October/11/2012	B
2462	January/12/2015	19.08	May/16/2013	I
3347	January/12/2015	6.55	June/06/2013	H
898	January/12/2015	82.35	July/17/2013	D
1753	January/12/2015	79.3	February/06/2015	C
3649	January/12/2015	181.34	November/19/2013	C
1656	January/12/2015	60.66	July/01/2013	G
2984	January/12/2015	24.51	July/02/2013	C
2297	January/12/2015	14.06	July/02/2013	N
3143	January/12/2015	34.19	January/18/2015	S
5305	January/12/2015	5.73	November/12/2014	G
6274	January/12/2015	32.7	December/25/2014	C
7098	January/12/2015	70.9	January/12/2015	D
7513	January/12/2015	23.92	January/12/2015	G
5588	January/12/2015	14.52	June/27/2014	M
5256	January/12/2015	59.35	January/12/2015	M
7241	January/12/2015	17.05	November/12/2014	G
8315	January/12/2015	12.06	October/14/2014	G
9063	January/12/2015	112.36	May/08/2011	B
5588	January/12/2015	11.14	June/27/2014	M
9678	January/12/2015	1.63	October/06/2011	C
1232	January/13/2015	15.91	March/17/1999	B
1547	January/13/2015	41.39	September/05/2010	M
28	January/13/2015	177.71	April/16/2011	J
278	January/13/2015	5.33	November/18/2009	I
147	January/13/2015	26.97	June/24/2011	I
2708	January/13/2015	59.61	November/14/2013	D
1653	January/13/2015	15.41	June/19/2014	C
2137	January/13/2015	36.37	July/01/2013	S
3750	January/13/2015	34.02	February/14/2015	G
2297	January/13/2015	42.22	July/02/2013	N
2617	January/13/2015	30.17	July/01/2013	B
1639	January/13/2015	42.79	July/01/2013	G
5480	January/13/2015	53.44	March/21/2014	F
4281	January/13/2015	44.63	November/04/2013	G
4647	January/13/2015	4.22	January/29/2014	I
5707	January/13/2015	206.73	May/12/2014	M
3689	January/13/2015	46.7	March/21/2014	S
5845	January/13/2015	10.57	March/21/2014	C
6847	January/13/2015	33.75	April/19/2014	O
6757	January/13/2015	31.48	July/04/2014	E
6655	January/13/2015	63.93	November/04/2013	B
8367	January/13/2015	10.63	November/12/2014	G
8218	January/13/2015	25.0	July/12/2010	C
14	January/14/2015	13.28	June/24/2004	F
23	January/14/2015	8.1	January/18/1999	B
76	January/14/2015	20.35	December/17/2004	B
1272	January/14/2015	8.11	October/27/2012	B
769	January/14/2015	45.74	May/31/2010	B
1119	January/14/2015	2.05	November/29/2012	D
4003	January/14/2015	50.74	February/12/2014	I
1398	January/14/2015	41.45	January/14/2015	C
629	January/14/2015	8.61	July/02/2013	N
2083	January/14/2015	10.12	March/21/2014	P
4240	January/14/2015	9.63	August/07/2013	H
4368	January/14/2015	43.04	July/25/2013	C
2528	January/14/2015	10.22	July/01/2013	G
2680	January/14/2015	65.21	September/17/2013	G
2083	January/14/2015	24.51	March/21/2014	P
3484	January/14/2015	13.21	July/02/2013	C
3384	January/14/2015	18.02	March/21/2014	C
5754	January/14/2015	73.76	March/21/2014	P
3649	January/14/2015	8.3	November/19/2013	C
4577	January/14/2015	100.94	July/25/2013	I
5749	January/14/2015	30.99	December/18/2013	A
5287	January/14/2015	24.26	September/17/2013	P
5508	January/14/2015	10.02	November/10/2014	M
7800	January/14/2015	31.48	November/12/2014	M
4623	January/14/2015	12.88	January/09/2014	G
6383	January/14/2015	51.89	September/02/2013	C
7042	January/14/2015	1.63	June/03/2009	G
9043	January/14/2015	47.13	March/11/2013	H
267	January/15/2015	27.79	November/17/2008	B
823	January/15/2015	13.52	June/28/2011	B
1726	January/15/2015	41.46	October/17/2013	B
96	January/15/2015	83.22	January/11/2008	M
2085	January/15/2015	28.88	May/17/2010	A
2311	January/15/2015	62.13	March/06/2014	D
2172	January/15/2015	7.3	September/30/2012	L
2780	January/15/2015	49.35	January/15/2015	A
2937	January/15/2015	56.96	January/14/2006	I
2780	January/15/2015	44.52	January/15/2015	A
2607	January/15/2015	19.22	January/15/2015	C
3143	January/15/2015	96.12	January/18/2015	S
4039	January/15/2015	19.92	May/21/2013	C
5545	January/15/2015	43.36	January/09/2014	G
5968	January/15/2015	37.54	November/28/2013	B
6513	January/15/2015	79.09	November/08/2014	I
7016	January/15/2015	19.33	November/01/2014	G
5028	January/15/2015	68.03	January/29/2014	G
7234	January/15/2015	2.3	December/18/2013	I
6397	January/15/2015	62.13	December/28/2013	G
7771	January/15/2015	0.82	January/15/2015	M
5028	January/15/2015	32.95	January/29/2014	G
7870	January/15/2015	15.86	May/30/2008	P
8025	January/15/2015	10.16	January/18/2015	G
4581	January/15/2015	32.6	August/21/2013	G
5172	January/15/2015	60.49	August/01/2013	H
8550	January/15/2015	78.36	December/07/2014	H
6355	January/15/2015	5.73	January/15/2015	I
7215	January/15/2015	31.8	October/23/2010	L
6513	January/15/2015	72.46	November/08/2014	I
53	January/16/2015	17.28	March/23/2000	B
807	January/16/2015	21.14	February/14/2010	B
520	January/16/2015	7.36	May/24/2014	A
568	January/16/2015	22.05	March/01/2002	B
1600	January/16/2015	9.32	October/30/2006	B
1273	January/16/2015	12.21	March/20/2010	H
2721	January/16/2015	7.78	April/21/2013	K
2789	January/16/2015	15.16	May/29/2013	C
1752	January/16/2015	61.97	August/04/2013	I
3298	January/16/2015	26.51	November/23/2014	M
2078	January/16/2015	29.19	October/01/2014	I
834	January/16/2015	20.9	June/26/2013	H
3298	January/16/2015	6.55	November/23/2014	M
1356	January/16/2015	24.35	July/01/2013	G
4294	January/16/2015	57.02	July/25/2013	I
3786	January/16/2015	48.43	June/07/2013	O
2705	January/16/2015	35.57	July/01/2013	C
4847	January/16/2015	17.79	July/04/2014	B
4820	January/16/2015	49.18	January/09/2014	M
5505	January/16/2015	22.05	July/02/2013	B
4369	January/16/2015	9.24	November/04/2013	E
4717	January/16/2015	31.73	November/04/2013	S
6299	January/16/2015	25.02	October/21/2006	B
7275	January/16/2015	63.12	April/11/2014	G
4533	January/16/2015	29.51	December/03/2013	C
5199	January/16/2015	24.94	December/03/2013	P
7207	January/16/2015	32.7	November/27/2006	L
9253	January/16/2015	20.73	January/16/2015	C
6340	January/16/2015	13.34	December/15/2014	C
9828	January/16/2015	59.76	January/16/2015	I
7322	January/16/2015	14.25	March/08/2007	C
6758	January/16/2015	63.12	March/14/2012	M
213	January/17/2015	62.13	June/07/2008	A
674	January/17/2015	38.52	September/26/2009	D
338	January/17/2015	96.31	July/19/2009	G
18	January/17/2015	75.73	July/24/2004	I
115	January/17/2015	31.89	March/29/2008	L
14	January/17/2015	58.19	June/24/2004	F
1111	January/17/2015	76.97	January/04/2015	B
380	January/17/2015	67.07	October/21/2007	B
93	January/17/2015	26.06	January/01/2001	B
1445	January/17/2015	30.64	February/19/2011	B
1877	January/17/2015	13.03	December/19/2013	K
2304	January/17/2015	6.5	January/17/2015	C
1167	January/17/2015	59.75	December/21/2012	C
1512	January/17/2015	24.99	July/02/2013	C
2600	January/17/2015	47.31	January/17/2015	A
2373	January/17/2015	14.91	January/17/2015	B
1107	January/17/2015	54.75	May/25/2013	I
1885	January/17/2015	13.67	December/11/2012	I
2845	January/17/2015	36.48	January/17/2015	I
1189	January/17/2015	35.16	April/27/2014	I
2692	January/17/2015	3.74	December/20/2014	C
2101	January/17/2015	49.59	January/21/1999	B
3582	January/17/2015	99.18	January/17/2015	C
1969	January/17/2015	16.15	June/06/2013	G
4189	January/17/2015	104.49	October/14/2014	K
3083	January/17/2015	86.26	January/20/2015	S
3011	January/17/2015	26.97	March/21/2014	C
2043	January/17/2015	7.3	January/21/2015	G
4271	January/17/2015	59.92	January/17/2015	I
1649	January/17/2015	36.8	July/01/2013	S
2526	January/17/2015	19.16	July/01/2013	M
4618	January/17/2015	12.88	March/21/2014	C
4625	January/17/2015	23.77	September/17/2013	H
5213	January/17/2015	48.33	March/21/2014	C
5760	January/17/2015	23.09	March/21/2014	C
5465	January/17/2015	19.97	April/03/2014	P
6298	January/17/2015	81.15	November/08/2014	C
6192	January/17/2015	10.24	December/07/2013	B
7017	January/17/2015	10.52	July/13/2007	H
7036	January/17/2015	81.15	July/30/2014	E
4580	January/17/2015	37.29	September/02/2013	C
4230	January/17/2015	5.5	July/02/2013	G
8044	January/17/2015	49.02	January/29/2004	C
8092	January/17/2015	43.13	January/17/2015	M
5161	January/17/2015	24.51	January/29/2014	F
6994	January/17/2015	8.52	September/29/2011	G
9055	January/17/2015	10.38	January/17/2015	T
7017	January/17/2015	9.83	July/13/2007	H
8145	January/17/2015	28.07	January/17/2015	P
7168	January/17/2015	43.21	September/12/2014	M
6292	January/17/2015	16.62	June/23/2009	G
84	January/18/2015	8.77	November/21/2008	B
668	January/18/2015	20.41	October/04/2009	C
544	January/18/2015	10.76	December/05/2011	H
1067	January/18/2015	98.6	December/16/2009	D
1607	January/18/2015	14.34	January/20/2011	C
2043	January/18/2015	6.55	January/21/2015	G
1096	January/18/2015	13.08	October/28/2014	C
4026	January/18/2015	37.3	January/18/2015	C
2221	January/18/2015	24.19	July/01/2013	I
4438	January/18/2015	14.26	September/02/2013	C
3011	January/18/2015	53.94	March/21/2014	C
4580	January/18/2015	82.36	September/02/2013	C
2221	January/18/2015	71.33	July/01/2013	I
5053	January/18/2015	14.74	December/18/2013	C
5487	January/18/2015	16.31	July/25/2013	E
6430	January/18/2015	54.75	December/18/2013	H
6695	January/18/2015	63.93	January/21/2007	G
7248	January/18/2015	9.51	January/21/2015	C
6064	January/18/2015	8.52	May/21/2008	K
6837	January/18/2015	40.16	November/08/2014	I
6291	January/18/2015	18.85	November/20/2013	S
43	January/19/2015	50.32	August/21/2002	B
36	January/19/2015	32.66	February/03/2008	I
1132	January/19/2015	9.87	January/19/2015	C
1757	January/19/2015	17.01	December/02/2011	C
1067	January/19/2015	34.43	December/16/2009	D
2859	January/19/2015	68.77	June/18/2013	C
2405	January/19/2015	5.66	January/19/2015	B
2167	January/19/2015	7.58	July/01/2013	O
3515	January/19/2015	4.1	January/19/2015	B
3734	January/19/2015	19.86	January/19/2015	D
3491	January/19/2015	48.77	October/07/2014	E
4217	January/19/2015	43.85	November/04/2013	G
4233	January/19/2015	49.59	July/25/2013	C
4388	January/19/2015	28.24	January/09/2014	B
4108	January/19/2015	51.56	July/01/2013	I
2297	January/19/2015	14.26	July/02/2013	N
4973	January/19/2015	8.04	August/21/2013	P
5328	January/19/2015	27.79	May/27/2014	I
